Step,AgentID,Type,Capital,Labor,Production,Price,Inventory,Budget,Productivity,Wage,Skills,Savings,Consumption
3,34,Firm2,5.0,1,0.0,0.8573749999999999,0.0,7.799846000760001,1.0,,,,
3,26,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,30,Firm1,20.0,1,2.4564560522315806,0.8573749999999999,8.912573852957927,16.9996910499127,1.005,,,,
3,33,Firm2,5.0,1,0.0,0.8573749999999999,0.0,7.799846000760001,1.0,,,,
3,4,Worker,,0,,,,,,1.0,0.0985074875,199.0503799981,1.0
3,22,Worker,,0,,,,,,1.0,0.10149995,199.05,1.0
3,16,Worker,,0,,,,,,1.0,0.10149995,199.05,1.0
3,8,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,32,Firm2,5.0,1,0.0,0.8573749999999999,0.0,7.799846000760001,1.0,,,,
3,0,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,18,Worker,,0,,,,,,1.0,0.10149995,199.05,1.0
3,19,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,9,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,13,Worker,,0,,,,,,1.0,0.10149995,199.05,1.0
3,2,Worker,,0,,,,,,1.0,0.10149995,199.05,1.0
3,27,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,36,Firm2,5.0,1,0.0,0.8573749999999999,0.0,7.799846000760001,1.0,,,,
3,11,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,24,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,20,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,17,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,3,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,15,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,31,Firm1,20.0,1,2.4564560522315806,0.8573749999999999,8.912573852957927,18.9996910499127,1.0,,,,
3,5,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
3,6,Worker,,0,,,,,,1.0,0.0985074875,199.05,1.0
3,21,Worker,,0,,,,,,1.0,0.0985074875,200.0,1.0
4,17,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,3,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,11,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,1,Worker,,0,,,,,,1.0,0.10251494950000001,199.04999999999998,1.0
4,15,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,21,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,12,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
4,30,Firm1,20.0,1,2.4687383324927383,0.8145062499999999,11.381109247481538,14.999521934959478,1.0100249999999997,,,,
4,5,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,25,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,29,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,32,Firm2,5.0,1,0.0,0.8145062499999999,0.0,7.799846000760001,1.0,,,,
4,18,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
4,20,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,0,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,34,Firm2,5.0,1,0.0,0.8145062499999999,0.0,7.799846000760001,1.0,,,,
4,35,Firm2,5.0,1,0.0,0.8145062499999999,0.0,7.799846000760001,1.0,,,,
4,26,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,6,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,9,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,31,Firm1,20.0,1,2.4564560522315806,0.8145062499999999,11.368827090043183,18.99952203499942,1.0,,,,
4,10,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,24,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,27,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,16,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
4,28,Worker,,0,,,,,,1.0,0.09801495006250001,199.04999999999998,1.0
4,4,Worker,,0,,,,,,1.0,0.09801495006250001,199.0503799981,1.0
4,7,Worker,,0,,,,,,1.0,0.09801495006250001,200.0,1.0
4,8,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,19,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,23,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,36,Firm2,5.0,1,0.0,0.8145062499999999,0.0,7.799846000760001,1.0,,,,
4,33,Firm2,5.0,1,0.0,0.8145062499999999,0.0,7.799846000760001,1.0,,,,
4,13,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
4,14,Worker,,0,,,,,,1.0,0.09801495006250001,199.05,1.0
4,2,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
4,22,Worker,,0,,,,,,1.0,0.10251494950000001,199.05,1.0
5,25,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,0,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,21,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,22,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,13,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,12,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,1,Worker,,0,,,,,,1.0,0.10354009899500001,199.04999999999998,1.0
5,31,Firm1,20.0,1,2.4564560522315806,0.7737809374999999,13.825031202309322,18.999322458666406,1.0,,,,
5,29,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,32,Firm2,5.0,1,0.0,0.7737809374999999,0.0,7.799846000760001,1.0,,,,
5,34,Firm2,5.0,1,0.0,0.7737809374999999,0.0,7.799846000760001,1.0,,,,
5,17,Worker,,0,,,,,,1.0,0.09752487531218751,200.0,1.0
5,2,Worker,,0,,,,,,1.0,0.10354009899500001,199.05,1.0
5,14,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,19,Worker,,0,,,,,,1.0,0.09752487531218751,199.05,1.0
5,28,Worker,,0,,,,,,1.0,0.09752487531218751,199.04999999999998,1.0
