,Total Labor,Total Capital,Total Goods,Total Money,Average Market Demand,Average Capital Price,Average Wage,Average Inventory,Average Consumption Good Price,Total Demand,Total Production,Global Productivity
0,481,70,23.317270133462912,3069.9999999999995,21.86867291707259,3.3406381642058163,0.0625,3.331038590494702,1.0895942097756919,153.08071041950814,25.398640774237148,0.052803826973466
1,480,70,43.423615625542496,3023.257576292189,21.753809618727278,2.725375090457762,0.06770993044554702,6.203373660791785,1.2036574237339175,152.27666733109095,47.8685730417487,0.09972619383697645
2,270,70,51.459412463231935,2994.517701202169,22.808588136819385,2.107124870382623,0.0771520761700284,7.351344637604562,1.0754364349336183,159.66011695773568,38.16076140673161,0.14133615335826522
3,288,70,63.52976943886042,2979.200163177449,25.890547516339144,1.7163249277198338,0.0787464820049758,9.075681348408631,1.0007502653933638,181.233832614374,42.25892243203428,0.1467323695556746
4,480,70,80.30360576855705,2939.1840382229893,24.956423057161665,1.4130482154785946,0.08568776591201391,11.471943681222436,0.9682966464891646,174.69496140013166,46.947780118923845,0.09780787524775801
5,152,70,92.55152695488283,2902.9704780800844,28.663925312855927,1.0973358679857714,0.0733385347190342,13.221646707840405,0.8282317119978652,200.6474771899915,43.02609927542581,0.28306644260148556
6,260,70,100.7301016436602,2890.7088127724537,34.95036996599531,0.9321916101101799,0.075162784363413,14.390014520522886,0.7435611627657153,244.65258976196714,38.40198717833853,0.14769995068591743
7,207,70,110.6414873565884,2868.9668192264116,37.84740162934902,0.7761378352832111,0.07532003948982756,15.805926765226914,0.6963387835624228,264.93181140544317,40.152898084198085,0.19397535306375888
8,246,70,118.45828519662638,2847.612751012527,35.39719804305413,0.6834472375858174,0.0896531095553772,16.922612170946625,0.6379794228760864,247.78038630137894,38.07604621948327,0.15478067568895637
9,81,70,118.0694874813413,2821.09905496635,36.23965627073566,0.6138761255738324,0.08593800805663876,16.867069640191612,0.5266921163239277,253.67759389514958,29.877878275098073,0.3688626947542972
10,239,70,125.5278998465526,2811.3841632049994,46.767068561792506,0.5083120189434717,0.06432291666666666,17.932557120936085,0.4328969493450076,327.36947993254756,37.732165436122635,0.15787516918879763
11,209,70,133.31669525388196,2788.821663204998,48.46722913787048,0.5083120189434717,0.0699199611171157,19.045242179125996,0.4131444833303606,339.27060396509336,40.47126519634993,0.19364241720741596
12,158,70,137.14004242614334,2772.1416898430984,48.964057688328744,0.5083120189434717,0.07141305815195009,19.591434632306193,0.39196822132248327,342.7484038183012,36.51743293103591,0.23112299323440452
13,144,70,137.60059223641517,2755.947991608355,48.307201852979844,0.5083120189434717,0.07205576692637189,19.657227462345023,0.3746484449852694,338.1504129708589,33.15891992703973,0.23027027727110927
14,111,70,138.0241907443668,2744.134461170958,49.77463531996726,0.5083120189434717,0.06523341592208055,19.717741534909543,0.3262272545080134,348.4224472397708,33.274450528820154,0.29976982458396534
