Step,AgentID,Type,Capital,Labor,Production,Price,Inventory,Budget,Productivity,Wage,Skills,Savings,Consumption
3,29,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,10,Worker,,0,,,,,,1.0,0.10149995,97.005125,0.4500000000000002
3,13,Worker,,0,,,,,,1.0,0.0985074875,97.10012499999999,1.0
3,22,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,5,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,27,Worker,,0,,,,,,1.0,0.0985074875,97.10012499999999,1.0
3,19,Worker,,0,,,,,,1.0,0.10149995,97.10012499999999,0.7000000000000002
3,8,Worker,,0,,,,,,1.0,0.0985074875,97.10012499999999,1.0
3,12,Worker,,0,,,,,,1.0,0.0985074875,97.10012499999999,1.0
3,3,Worker,,0,,,,,,1.0,0.0985074875,97.74065656249999,1.0
3,20,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,4,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,0.9500000000000002
3,15,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,24,Worker,,0,,,,,,1.0,0.0985074875,97.00512499999999,1.0
3,11,Worker,,0,,,,,,1.0,0.10149995,97.00512499999999,1.0
3,26,Worker,,0,,,,,,1.0,0.0985074875,97.21459999999999,0.7999999999999998
3,36,Firm2,5.0,1,5.0,1.047375,0.0,19.670937499999997,1.0,,,,
3,31,Firm1,20.0,1,1.0,0.8573749999999999,7.926460375,15.096463331828126,1.005,,,,
3,25,Worker,,0,,,,,,1.0,0.0985074875,99.05,1.0
3,30,Firm1,20.0,1,1.0,0.8573749999999999,7.926460375,15.096463331828126,1.005,,,,
3,1,Worker,,0,,,,,,1.0,0.0985074875,98.1475,1.0
3,14,Worker,,0,,,,,,1.0,0.0985074875,98.0525,1.0
3,17,Worker,,0,,,,,,1.0,0.0985074875,98.0525,1.0
3,6,Worker,,0,,,,,,1.0,0.0985074875,98.077449375,1.0
3,35,Firm2,5.0,1,5.0,1.047375,0.0,19.670937499999997,1.0,,,,
3,7,Worker,,0,,,,,,1.0,0.10149995,98.1475,1.0
3,28,Worker,,0,,,,,,1.0,0.0985074875,98.0525,1.0
4,34,Firm2,5.0,1,5.0,1.09974375,4.75,19.396001562499997,1.0,,,,
4,10,Worker,,0,,,,,,1.0,0.10251494950000001,96.01011875,1.0
4,21,Worker,,0,,,,,,1.0,0.09801495006250001,96.10986874999999,1.0
4,7,Worker,,0,,,,,,1.0,0.10251494950000001,97.15249374999999,1.0
4,23,Worker,,0,,,,,,1.0,0.09801495006250001,96.01011874999999,1.0
4,19,Worker,,0,,,,,,1.0,0.10251494950000001,96.35387031249999,0.75
4,18,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,8,Worker,,0,,,,,,1.0,0.09801495006250001,97.10012499999999,1.0
4,16,Worker,,0,,,,,,1.0,0.10251494950000001,97.00512499999999,1.0
4,20,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,5,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,35,Firm2,5.0,1,5.0,1.09974375,4.75,19.396001562499997,1.0,,,,
4,27,Worker,,0,,,,,,1.0,0.09801495006250001,97.10012499999999,1.0
4,22,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,25,Worker,,0,,,,,,1.0,0.09801495006250001,99.05,1.0
4,4,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,26,Worker,,0,,,,,,1.0,0.09801495006250001,97.21459999999999,1.0
4,28,Worker,,0,,,,,,1.0,0.09801495006250001,98.0525,1.0
4,30,Firm1,20.0,1,1.0,0.8145062499999999,8.1036304884375,12.40927337412614,1.005,,,,
4,2,Worker,,0,,,,,,1.0,0.10251494950000001,98.102375,1.0
4,15,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,33,Firm2,5.0,1,5.0,0.9950062500000001,0.0,18.390147499999998,1.0,,,,
4,17,Worker,,0,,,,,,1.0,0.09801495006250001,98.0525,1.0
4,11,Worker,,0,,,,,,1.0,0.10251494950000001,97.00512499999999,1.0
4,9,Worker,,0,,,,,,1.0,0.09801495006250001,97.179925,1.0
4,36,Firm2,5.0,1,5.0,1.09974375,4.75,19.396001562499997,1.0,,,,
4,6,Worker,,0,,,,,,1.0,0.09801495006250001,98.077449375,1.0
4,13,Worker,,0,,,,,,1.0,0.09801495006250001,97.10012499999999,1.0
4,24,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,0,Worker,,0,,,,,,1.0,0.10251494950000001,97.10487499999999,1.0
4,1,Worker,,0,,,,,,1.0,0.09801495006250001,98.1475,1.0
4,32,Firm2,5.0,1,5.0,1.09974375,4.75,19.396001562499997,1.0,,,,
4,31,Firm1,20.0,1,1.0,0.8145062499999999,8.1036304884375,12.40927337412614,1.005,,,,
4,29,Worker,,0,,,,,,1.0,0.09801495006250001,97.00512499999999,1.0
4,3,Worker,,0,,,,,,1.0,0.09801495006250001,97.74065656249999,1.0
4,14,Worker,,0,,,,,,1.0,0.09801495006250001,98.0525,1.0
4,12,Worker,,0,,,,,,1.0,0.09801495006250001,97.10012499999999,1.0
5,17,Worker,,0,,,,,,1.0,0.09752487531218751,97.0077434375,1.0
5,19,Worker,,0,,,,,,1.0,0.10354009899500001,95.30911375,1.0
5,0,Worker,,0,,,,,,1.0,0.10354009899500001,96.0601184375,1.0
5,3,Worker,,0,,,,,,1.0,0.09752487531218751,96.6959,1.0
5,21,Worker,,0,,,,,,1.0,0.09752487531218751,95.06511218749999,1.0
5,8,Worker,,0,,,,,,1.0,0.09752487531218751,96.0553684375,1.0
5,2,Worker,,0,,,,,,1.0,0.10354009899500001,97.0576184375,1.0
5,15,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,31,Firm1,20.0,1,1.0,0.7737809374999999,8.263526515814844,11.7427157903914,1.005,,,,
5,32,Firm2,5.0,1,4.0,1.0447565625,0.0,27.13895363632811,1.0,,,,
5,14,Worker,,0,,,,,,1.0,0.09752487531218751,97.0077434375,0.9131250000000009
5,27,Worker,,0,,,,,,1.0,0.09752487531218751,96.0553684375,1.0
5,5,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,26,Worker,,0,,,,,,1.0,0.09752487531218751,96.16984343749999,1.0
5,25,Worker,,0,,,,,,1.0,0.09752487531218751,98.0052434375,1.0
5,1,Worker,,0,,,,,,1.0,0.09752487531218751,97.1027434375,1.0
5,24,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,7,Worker,,0,,,,,,1.0,0.10354009899500001,96.10773718749999,1.0
5,35,Firm2,5.0,1,4.0,1.0447565625,0.0,27.13895363632811,1.0,,,,
5,6,Worker,,0,,,,,,1.0,0.09752487531218751,97.0326928125,0.8262500000000017
5,18,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,23,Worker,,0,,,,,,1.0,0.09752487531218751,94.96536218749999,1.0
5,33,Firm2,5.0,1,4.0,1.0447565625000002,3.8,18.181196187499996,1.0,,,,
5,29,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,13,Worker,,0,,,,,,1.0,0.09752487531218751,96.0553684375,1.0
5,10,Worker,,0,,,,,,1.0,0.10354009899500001,94.9653621875,1.0
5,11,Worker,,0,,,,,,1.0,0.10354009899500001,95.9603684375,1.0
5,12,Worker,,0,,,,,,1.0,0.09752487531218751,96.0553684375,1.0
5,22,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,0.7393750000000026
5,28,Worker,,0,,,,,,1.0,0.09752487531218751,97.0077434375,1.0
5,16,Worker,,0,,,,,,1.0,0.10354009899500001,95.9603684375,1.0
5,20,Worker,,0,,,,,,1.0,0.09752487531218751,95.9603684375,1.0
5,30,Firm1,20.0,1,1.0,0.7737809374999999,8.263526515814844,11.7427157903914,1.005,,,,
