step,firm_id,firm_type,optimal_labor,optimal_capital,optimal_price,optimal_production,actual_labor,actual_capital,actual_price,Inventory
1,20,Firm1,0,20,0.8,0,0,20,0.8,20
1,26,Firm2,0,5,0.8,0,0,5,0.8,0
1,23,Firm2,0,5,0.8,0,0,5,0.8,20
1,25,Firm2,0,5,0.8,0,0,5,0.8,20
1,21,Firm1,0,20,0.8,0,0,20,0.8,20
1,22,Firm2,0,5,0.8,0,0,5,0.8,20
1,24,Firm2,0,5,0.8,0,0,5,0.8,20
2,20,Firm1,0,20,0.6400000000000001,0,0,20,0.6400000000000001,20
2,21,Firm1,0,20,0.6400000000000001,0,0,20,0.6400000000000001,20
2,22,Firm2,0,5,0.6400000000000001,0,0,5,0.6400000000000001,0
2,23,Firm2,0,5,0.6400000000000001,0,0,5,0.6400000000000001,0
2,25,Firm2,0,5,0.6400000000000001,0,0,5,0.6400000000000001,0.0
2,26,Firm2,1,5,0.96,1.6206565966927624,1,5,0.96,1.6206565966927624
2,24,Firm2,0,5,0.6400000000000001,0,0,5,0.6400000000000001,11.399999999999999
3,26,Firm2,0,5,0.768,0,0,5,0.768,0.0
3,22,Firm2,1,5,0.7680000000000001,1.6206565966927624,1,5,0.7680000000000001,0.0
3,25,Firm2,1,5,0.7680000000000001,1.6206565966927624,1,5,0.7680000000000001,0.0
3,20,Firm1,0,20,0.5120000000000001,0,0,20,0.5120000000000001,20
3,23,Firm2,1,5,0.7680000000000001,1.6206565966927624,1,5,0.7680000000000001,0.0
3,21,Firm1,0,20,0.5120000000000001,0,0,20,0.5120000000000001,20
3,24,Firm2,1,5,0.7680000000000001,1.6206565966927624,1,5,0.7680000000000001,0.0
4,23,Firm2,0,5,0.6144000000000002,0,0,5,0.6144000000000002,0.0
4,21,Firm1,0,20,0.40960000000000013,0,0,20,0.40960000000000013,20
4,26,Firm2,0,5,0.6144000000000001,0,0,5,0.6144000000000001,0.0
4,24,Firm2,0,5,0.6144000000000002,0,0,5,0.6144000000000002,0.0
4,22,Firm2,0,5,0.6144000000000002,0,0,5,0.6144000000000002,0.0
4,20,Firm1,0,20,0.40960000000000013,0,0,20,0.40960000000000013,20
4,25,Firm2,0,5,0.6144000000000002,0,0,5,0.6144000000000002,0.0
5,24,Firm2,1,5,0.7372800000000002,1.3930916416759864,1,5,0.7372800000000002,0.0
5,21,Firm1,0,20,0.32768000000000014,0,0,20,0.32768000000000014,20
5,25,Firm2,1,5,0.7372800000000002,1.3930916416759864,1,5,0.7372800000000002,0.0
5,22,Firm2,1,5,0.7372800000000002,1.3930916416759864,1,5,0.7372800000000002,0.0
5,23,Firm2,1,5,0.7372800000000002,1.3930916416759864,1,5,0.7372800000000002,0.0
5,20,Firm1,0,20,0.32768000000000014,0,0,20,0.32768000000000014,20
5,26,Firm2,1,5,0.73728,1.3930916416759864,1,5,0.73728,0.0
6,24,Firm2,0,5,0.5898240000000001,0,0,5,0.5898240000000001,0.0
6,21,Firm1,0,20,0.2621440000000001,0,0,20,0.2621440000000001,20
6,26,Firm2,0,5,0.589824,0,0,5,0.589824,0.0
6,25,Firm2,0,5,0.5898240000000001,0,0,5,0.5898240000000001,0.0
6,20,Firm1,0,20,0.2621440000000001,0,0,20,0.2621440000000001,20
6,22,Firm2,0,5,0.5898240000000001,0,0,5,0.5898240000000001,0.0
6,23,Firm2,0,5,0.5898240000000001,0,0,5,0.5898240000000001,0.0
7,26,Firm2,0,5,0.47185920000000003,0,0,5,0.47185920000000003,0.0
7,23,Firm2,0,5,0.47185920000000015,0,0,5,0.47185920000000015,0.0
7,22,Firm2,0,5,0.47185920000000015,0,0,5,0.47185920000000015,0.0
7,25,Firm2,0,5,0.47185920000000015,0,0,5,0.47185920000000015,0.0
7,21,Firm1,0,20,0.2097152000000001,0,0,20,0.2097152000000001,20
7,24,Firm2,0,5,0.47185920000000015,0,0,5,0.47185920000000015,0.0
7,20,Firm1,0,20,0.2097152000000001,0,0,20,0.2097152000000001,20
8,24,Firm2,0,5,0.37748736000000016,0,0,5,0.37748736000000016,0.0
8,23,Firm2,0,5,0.37748736000000016,0,0,5,0.37748736000000016,0.0
