,Total Labor,Total Capital,Total Goods,Total Money,Average Market Demand,Average Capital Price,Average Wage,Average Consumption Good Price,Total Demand,Total Production,Global Productivity
73,0,86.29648760330579,-124,98,0,0.0,0.0,1.0,0,0,1
74,0,86.29648760330579,-125,99,0,0.0,1.0,1.0,0,0,1
75,0,88.1482438016529,-126,100,0,1.0,1.0,1.0,0,0,1
76,0,88.1482438016529,-128,104,0,0.0,1.0,1.0,0,0,1
77,0,89.07412190082646,-128,104,0,1.0,0.0,0.0,0,0,1
78,0,89.07412190082646,-130,107,0,0.0,1.0,1.0,0,0,1
79,0,89.07412190082646,-131,108,0,0.0,1.0,1.0,0,0,1
80,0,89.07412190082646,-132,109,0,0.0,1.0,1.0,0,0,1
81,0,89.07412190082646,-133,110,0,0.0,1.0,1.0,0,0,1
82,0,89.07412190082646,-134,111,0,0.0,1.0,1.0,0,0,1
83,0,89.07412190082646,-135,112,0,0.0,1.0,1.0,0,0,1
84,0,89.07412190082646,-136,113,0,0.0,1.0,1.0,0,0,1
85,0,89.07412190082646,-137,113,0,0.0,0.0,1.0,0,0,1
86,0,89.07412190082646,-138,114,0,0.0,1.0,1.0,0,0,1
87,0,89.07412190082646,-139,115,0,0.0,1.0,1.0,0,0,1
88,0,89.07412190082646,-140,116,0,0.0,1.0,1.0,0,0,1
89,0,89.07412190082646,-141,117,0,0.0,1.0,1.0,0,0,1
90,0,89.07412190082646,-142,118,0,0.0,1.0,1.0,0,0,1
91,0,89.07412190082646,-143,118,0,0.0,0.0,1.0,0,0,1
92,0,89.07412190082646,-144,119,0,0.0,1.0,1.0,0,0,1
93,0,89.07412190082646,-145,120,0,0.0,1.0,1.0,0,0,1
94,0,89.07412190082646,-146,121,0,0.0,1.0,1.0,0,0,1
95,0,89.07412190082646,-147,122,0,0.0,1.0,1.0,0,0,1
96,0,89.07412190082646,-148,123,0,0.0,1.0,1.0,0,0,1
97,0,89.07412190082646,-149,124,0,0.0,1.0,1.0,0,0,1
98,0,89.07412190082646,-150,125,0,0.0,1.0,1.0,0,0,1
99,0,89.07412190082646,-151,126,0,0.0,1.0,1.0,0,0,1
